State, LON, LAT
"Arizona": [-111.6605311, 34.2750989]
"Alaska": [-152.8792866, 63.4130643]
"Washington": [-120.5954943, 47.4148772]
"Oregon": [-120.6109265, 43.9396009]
"Nevada": [-116.6313463, 39.3292318]
"California": [-119.5277735, 37.1547616]
"Idaho": [-114.6136830, 44.3524056]
"Montana": [-109.6328844, 47.0526547]
"Utah":[-111.6703458, 39.3063102]
"Wyoming": [-107.5514568, 42.9960999]
"Colorado": [-105.5478280, 38.9976179]
"New Mexico": [-106.1126597, 34.4075783]
"Texas": [-99.2890539, 31.4276892]
"Oklahoma": [-97.4947176, 35.5885699]
"Kansas": [-98.3786217, 38.4938959]
"Nebraska": [-99.7949779, 41.5381095]
"South Dakota": [-100.2270262, 44.4445705]
"North Dakota": [-100.4660576, 47.4504657]
"Wisconsin": [-89.7097853, 44.6273138]
"Iowa": [-93.4958520, 42.0753617]
"Minnesota": [-94.1982323, 46.3167397]
"Missouri": [-92.4580564,38.3569829]
"Arkansas": [-92.4418428, 34.8941740]
"Louisiana": [-91.7982299, 30.9025928]
"Alabama": [-86.8467951, 32.7436859]
"Mississippi": [-89.6552498, 32.6972945]
"Illinois": [-89.1500819, 40.1006037]
"Indiana": [-86.2872770, 39.9059403]
"Michigan": [-85.6650620, 44.8382367]
"Kentucky": [-85.3018167, 37.5351655]
"Ohio": [-82.7168530, 40.4097282]
"Tennessee": [-86.3490784, 35.8582556]
"Georgia": [-83.4165286, 32.6279417]
"North Carolina": [-79.1299320, 35.5401756]
"South Carolina": [-80.8583129, 33.8758222]
"Florida": [-82.5022125, 28.4062029]
"Virginia": [-78.6759174, 37.5182631]
"West Virginia": [-80.6234555, 38.6411860]
"Maine": [-69.2136650, 45.2610965]
"New Hampshire": [-71.5738496, 43.6740328]
"Vermont": [-72.6660619, 44.0693362]
"New York": [-75.5941454, 42.9196122]
"Massachusetts": [-72.7393081, 41.5751437]
"Rhode Island": [-71.5247212, 41.5940253]
"New Jersey": [-74.6583735, 40.1048623]
"Pennsylvania": [-77.8369304, 40.9011320]
"Delaware": [-75.4514104, 38.9932570]
"Maryland": [-76.6789663, 38.9463607]
"Hawaii": [-157.9936887, 21.0508739]
"Connecticut": [-72.7393081, 41.5751437]
"Puerto Rico": [-66.4147614, 18.2164715]
"District of Columbia": [-77.0162860, 38.9047586]
"Guam": [144.7693797, 13.4427156]
"Virgin Islands": [-64.8387617, 18.0593788]
